"Behoerde","Delikt","Monat","bekanntgewordeneFaelle","davonVersuche","Aufklaerungsquote","longitude","latitude"
"Aachen","Einbruchdelikte","Oktober 2019",249,93,13.25,6.083862,50.776351
"Aachen","Einbruchdelikte","September 2019",213,85,15.02,6.083862,50.776351
"Aachen","Einbruchdelikte","August 2019",175,70,14.29,6.083862,50.776351
"Aachen","Einbruchdelikte","Juli 2019",197,70,21.32,6.083862,50.776351
"Aachen","Einbruchdelikte","Juni 2019",247,94,9.31,6.083862,50.776351
"Aachen","Einbruchdelikte","Mai 2019",359,125,8.91,6.083862,50.776351
"Aachen","Einbruchdelikte","April 2019",203,76,12.81,6.083862,50.776351
"Aachen","Einbruchdelikte","März 2019",267,113,7.49,6.083862,50.776351
"Aachen","Einbruchdelikte","Februar 2019",280,128,11.79,6.083862,50.776351
"Aachen","Einbruchdelikte","Januar 2019",345,123,6.96,6.083862,50.776351
"Aachen","Einbruchdelikte","Dezember 2018",225,78,10.22,6.083862,50.776351
"Aachen","Einbruchdelikte","November 2018",261,117,9.2,6.083862,50.776351
"Aachen","Einbruchdelikte","Oktober 2018",266,106,4.51,6.083862,50.776351
"Aachen","Einbruchdelikte","Oktober 2014",407,195,9.58,6.083862,50.776351
"Aachen","Wohnungseinbruchdiebstahl","Oktober 2019",116,55,14.66,6.083862,50.776351
"Aachen","Wohnungseinbruchdiebstahl","September 2019",78,41,25.64,6.083862,50.776351
"Aachen","Wohnungseinbruchdiebstahl","August 2019",69,33,26.09,6.083862,50.776351
"Aachen","Wohnungseinbruchdiebstahl","Juli 2019",63,23,31.75,6.083862,50.776351
"Aachen","Wohnungseinbruchdiebstahl","Juni 2019",69,34,15.94,6.083862,50.776351
"Aachen","Wohnungseinbruchdiebstahl","Mai 2019",149,55,6.71,6.083862,50.776351
"Aachen","Wohnungseinbruchdiebstahl","April 2019",68,29,26.47,6.083862,50.776351
"Aachen","Wohnungseinbruchdiebstahl","März 2019",71,33,16.9,6.083862,50.776351
"Aachen","Wohnungseinbruchdiebstahl","Februar 2019",64,28,4.69,6.083862,50.776351
"Aachen","Wohnungseinbruchdiebstahl","Januar 2019",118,44,5.08,6.083862,50.776351
"Aachen","Wohnungseinbruchdiebstahl","Dezember 2018",129,50,10.08,6.083862,50.776351
"Aachen","Wohnungseinbruchdiebstahl","November 2018",84,41,15.48,6.083862,50.776351
"Aachen","Wohnungseinbruchdiebstahl","Oktober 2018",77,40,9.09,6.083862,50.776351
"Aachen","Wohnungseinbruchdiebstahl","Oktober 2014",216,120,6.02,6.083862,50.776351
"Aachen","Tageswohnungs-einbruchdiebstahl","Oktober 2019",43,17,20.93,6.083862,50.776351
"Aachen","Tageswohnungs-einbruchdiebstahl","September 2019",33,14,21.21,6.083862,50.776351
"Aachen","Tageswohnungs-einbruchdiebstahl","August 2019",29,11,17.24,6.083862,50.776351
"Aachen","Tageswohnungs-einbruchdiebstahl","Juli 2019",26,9,30.77,6.083862,50.776351
"Aachen","Tageswohnungs-einbruchdiebstahl","Juni 2019",14,9,7.14,6.083862,50.776351
"Aachen","Tageswohnungs-einbruchdiebstahl","Mai 2019",48,16,8.33,6.083862,50.776351
"Aachen","Tageswohnungs-einbruchdiebstahl","April 2019",25,8,24,6.083862,50.776351
"Aachen","Tageswohnungs-einbruchdiebstahl","März 2019",25,11,28,6.083862,50.776351
"Aachen","Tageswohnungs-einbruchdiebstahl","Februar 2019",19,5,0,6.083862,50.776351
"Aachen","Tageswohnungs-einbruchdiebstahl","Januar 2019",40,13,2.5,6.083862,50.776351
"Aachen","Tageswohnungs-einbruchdiebstahl","Dezember 2018",36,17,11.11,6.083862,50.776351
"Aachen","Tageswohnungs-einbruchdiebstahl","November 2018",23,13,21.74,6.083862,50.776351
"Aachen","Tageswohnungs-einbruchdiebstahl","Oktober 2018",26,14,3.85,6.083862,50.776351
"Aachen","Tageswohnungs-einbruchdiebstahl","Oktober 2014",78,32,2.56,6.083862,50.776351
"Aachen","Delikte der Straßenkriminalität","Oktober 2019",954,81,15.93,6.083862,50.776351
"Aachen","Delikte der Straßenkriminalität","September 2019",744,56,16.4,6.083862,50.776351
"Aachen","Delikte der Straßenkriminalität","August 2019",945,91,15.87,6.083862,50.776351
"Aachen","Delikte der Straßenkriminalität","Juli 2019",1130,93,19.2,6.083862,50.776351
"Aachen","Delikte der Straßenkriminalität","Juni 2019",847,69,12.04,6.083862,50.776351
"Aachen","Delikte der Straßenkriminalität","Mai 2019",882,73,12.93,6.083862,50.776351
"Aachen","Delikte der Straßenkriminalität","April 2019",903,55,14.06,6.083862,50.776351
"Aachen","Delikte der Straßenkriminalität","März 2019",922,73,13.45,6.083862,50.776351
"Aachen","Delikte der Straßenkriminalität","Februar 2019",1062,95,13.56,6.083862,50.776351
"Aachen","Delikte der Straßenkriminalität","Januar 2019",1188,80,9.51,6.083862,50.776351
"Aachen","Delikte der Straßenkriminalität","Dezember 2018",574,37,19.51,6.083862,50.776351
"Aachen","Delikte der Straßenkriminalität","November 2018",1026,84,16.67,6.083862,50.776351
"Aachen","Delikte der Straßenkriminalität","Oktober 2018",1081,79,11.38,6.083862,50.776351
"Aachen","Delikte der Straßenkriminalität","Oktober 2014",1302,127,9.06,6.083862,50.776351
"Aachen","Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge)","Oktober 2019",10,NA,60,6.083862,50.776351
"Aachen","Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge)","September 2019",6,1,66.67,6.083862,50.776351
"Aachen","Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge)","August 2019",3,1,66.67,6.083862,50.776351
"Aachen","Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge)","Juli 2019",4,NA,100,6.083862,50.776351
"Aachen","Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge)","Juni 2019",7,1,85.71,6.083862,50.776351
"Aachen","Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge)","Mai 2019",6,1,83.33,6.083862,50.776351
"Aachen","Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge)","April 2019",6,1,50,6.083862,50.776351
"Aachen","Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge)","März 2019",6,1,83.33,6.083862,50.776351
"Aachen","Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge)","Februar 2019",5,2,80,6.083862,50.776351
"Aachen","Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge)","Januar 2019",1,NA,100,6.083862,50.776351
"Aachen","Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge)","Dezember 2018",4,1,25,6.083862,50.776351
"Aachen","Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge)","November 2018",12,2,83.33,6.083862,50.776351
"Aachen","Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge)","Oktober 2018",7,2,85.71,6.083862,50.776351
"Aachen","Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge)","Oktober 2014",6,1,66.67,6.083862,50.776351
"Aachen","Raubüberfälle auf Straßen, Wegen oder Plätzen","Oktober 2019",21,8,47.62,6.083862,50.776351
"Aachen","Raubüberfälle auf Straßen, Wegen oder Plätzen","September 2019",15,3,66.67,6.083862,50.776351
"Aachen","Raubüberfälle auf Straßen, Wegen oder Plätzen","August 2019",15,1,20,6.083862,50.776351
"Aachen","Raubüberfälle auf Straßen, Wegen oder Plätzen","Juli 2019",19,6,42.11,6.083862,50.776351
"Aachen","Raubüberfälle auf Straßen, Wegen oder Plätzen","Juni 2019",15,3,26.67,6.083862,50.776351
"Aachen","Raubüberfälle auf Straßen, Wegen oder Plätzen","Mai 2019",13,4,23.08,6.083862,50.776351
"Aachen","Raubüberfälle auf Straßen, Wegen oder Plätzen","April 2019",12,1,50,6.083862,50.776351
"Aachen","Raubüberfälle auf Straßen, Wegen oder Plätzen","März 2019",17,8,52.94,6.083862,50.776351
"Aachen","Raubüberfälle auf Straßen, Wegen oder Plätzen","Februar 2019",16,4,37.5,6.083862,50.776351
"Aachen","Raubüberfälle auf Straßen, Wegen oder Plätzen","Januar 2019",6,NA,66.67,6.083862,50.776351
"Aachen","Raubüberfälle auf Straßen, Wegen oder Plätzen","Dezember 2018",5,1,40,6.083862,50.776351
"Aachen","Raubüberfälle auf Straßen, Wegen oder Plätzen","November 2018",24,8,41.67,6.083862,50.776351
"Aachen","Raubüberfälle auf Straßen, Wegen oder Plätzen","Oktober 2018",12,4,66.67,6.083862,50.776351
"Aachen","Raubüberfälle auf Straßen, Wegen oder Plätzen","Oktober 2014",30,10,23.33,6.083862,50.776351
"Aachen","Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen","Oktober 2019",31,1,87.1,6.083862,50.776351
"Aachen","Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen","September 2019",39,4,74.36,6.083862,50.776351
"Aachen","Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen","August 2019",19,5,73.68,6.083862,50.776351
"Aachen","Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen","Juli 2019",39,1,56.41,6.083862,50.776351
"Aachen","Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen","Juni 2019",19,2,68.42,6.083862,50.776351
"Aachen","Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen","Mai 2019",36,3,69.44,6.083862,50.776351
"Aachen","Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen","April 2019",25,1,88,6.083862,50.776351
"Aachen","Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen","März 2019",39,2,61.54,6.083862,50.776351
"Aachen","Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen","Februar 2019",41,8,73.17,6.083862,50.776351
"Aachen","Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen","Januar 2019",33,3,81.82,6.083862,50.776351
"Aachen","Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen","Dezember 2018",40,4,82.5,6.083862,50.776351
"Aachen","Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen","November 2018",56,8,78.57,6.083862,50.776351
"Aachen","Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen","Oktober 2018",40,2,75,6.083862,50.776351
"Aachen","Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen","Oktober 2014",38,1,71.05,6.083862,50.776351
"Aachen","Taschendiebstahl","Oktober 2019",82,NA,0,6.083862,50.776351
"Aachen","Taschendiebstahl","September 2019",40,NA,5,6.083862,50.776351
"Aachen","Taschendiebstahl","August 2019",80,2,1.25,6.083862,50.776351
"Aachen","Taschendiebstahl","Juli 2019",77,NA,5.19,6.083862,50.776351
"Aachen","Taschendiebstahl","Juni 2019",47,NA,2.13,6.083862,50.776351
"Aachen","Taschendiebstahl","Mai 2019",66,2,4.55,6.083862,50.776351
"Aachen","Taschendiebstahl","April 2019",88,1,2.27,6.083862,50.776351
"Aachen","Taschendiebstahl","März 2019",90,NA,4.44,6.083862,50.776351
"Aachen","Taschendiebstahl","Februar 2019",98,1,0,6.083862,50.776351
"Aachen","Taschendiebstahl","Januar 2019",145,NA,3.45,6.083862,50.776351
"Aachen","Taschendiebstahl","Dezember 2018",66,2,3.03,6.083862,50.776351
"Aachen","Taschendiebstahl","November 2018",86,2,3.49,6.083862,50.776351
"Aachen","Taschendiebstahl","Oktober 2018",109,1,5.5,6.083862,50.776351
"Aachen","Taschendiebstahl","Oktober 2014",110,NA,0.91,6.083862,50.776351
"Aachen","Diebstahl von Fahrrädern","Oktober 2019",235,14,8.51,6.083862,50.776351
"Aachen","Diebstahl von Fahrrädern","September 2019",151,6,4.64,6.083862,50.776351
"Aachen","Diebstahl von Fahrrädern","August 2019",204,10,7.35,6.083862,50.776351
"Aachen","Diebstahl von Fahrrädern","Juli 2019",196,9,11.22,6.083862,50.776351
"Aachen","Diebstahl von Fahrrädern","Juni 2019",156,8,6.41,6.083862,50.776351
"Aachen","Diebstahl von Fahrrädern","Mai 2019",207,7,4.83,6.083862,50.776351
"Aachen","Diebstahl von Fahrrädern","April 2019",164,4,4.88,6.083862,50.776351
"Aachen","Diebstahl von Fahrrädern","März 2019",153,10,7.84,6.083862,50.776351
"Aachen","Diebstahl von Fahrrädern","Februar 2019",219,13,6.39,6.083862,50.776351
"Aachen","Diebstahl von Fahrrädern","Januar 2019",347,16,1.15,6.083862,50.776351
"Aachen","Diebstahl von Fahrrädern","Dezember 2018",114,8,12.28,6.083862,50.776351
"Aachen","Diebstahl von Fahrrädern","November 2018",239,16,8.79,6.083862,50.776351
"Aachen","Diebstahl von Fahrrädern","Oktober 2018",249,14,4.42,6.083862,50.776351
"Aachen","Diebstahl von Fahrrädern","Oktober 2014",321,20,5.92,6.083862,50.776351
"Aachen","Gewaltkriminalität","Oktober 2019",143,28,79.72,6.083862,50.776351
"Aachen","Gewaltkriminalität","September 2019",142,24,75.35,6.083862,50.776351
"Aachen","Gewaltkriminalität","August 2019",98,24,72.45,6.083862,50.776351
"Aachen","Gewaltkriminalität","Juli 2019",159,25,75.47,6.083862,50.776351
"Aachen","Gewaltkriminalität","Juni 2019",107,20,75.7,6.083862,50.776351
"Aachen","Gewaltkriminalität","Mai 2019",139,27,69.78,6.083862,50.776351
"Aachen","Gewaltkriminalität","April 2019",125,12,76,6.083862,50.776351
"Aachen","Gewaltkriminalität","März 2019",135,25,70.37,6.083862,50.776351
"Aachen","Gewaltkriminalität","Februar 2019",151,26,72.85,6.083862,50.776351
"Aachen","Gewaltkriminalität","Januar 2019",132,17,80.3,6.083862,50.776351
"Aachen","Gewaltkriminalität","Dezember 2018",123,24,72.36,6.083862,50.776351
"Aachen","Gewaltkriminalität","November 2018",196,34,81.63,6.083862,50.776351
"Aachen","Gewaltkriminalität","Oktober 2018",151,17,84.11,6.083862,50.776351
"Aachen","Gewaltkriminalität","Oktober 2014",163,30,61.35,6.083862,50.776351
"Bielefeld","Einbruchdelikte","Oktober 2019",63,24,33.33,8.5324708,52.0302285
"Bielefeld","Einbruchdelikte","September 2019",61,24,9.84,8.5324708,52.0302285
"Bielefeld","Einbruchdelikte","August 2019",62,27,59.68,8.5324708,52.0302285
"Bielefeld","Einbruchdelikte","Juli 2019",65,35,24.62,8.5324708,52.0302285
"Bielefeld","Einbruchdelikte","Juni 2019",68,23,1.47,8.5324708,52.0302285
"Bielefeld","Einbruchdelikte","Mai 2019",87,34,25.29,8.5324708,52.0302285
"Bielefeld","Einbruchdelikte","April 2019",102,44,18.63,8.5324708,52.0302285
"Bielefeld","Einbruchdelikte","März 2019",99,35,34.34,8.5324708,52.0302285
"Bielefeld","Einbruchdelikte","Februar 2019",170,82,3.53,8.5324708,52.0302285
"Bielefeld","Einbruchdelikte","Januar 2019",104,51,7.69,8.5324708,52.0302285
"Bielefeld","Einbruchdelikte","Dezember 2018",78,36,16.67,8.5324708,52.0302285
"Bielefeld","Einbruchdelikte","November 2018",67,28,26.87,8.5324708,52.0302285
"Bielefeld","Einbruchdelikte","Oktober 2018",102,44,29.41,8.5324708,52.0302285
"Bielefeld","Einbruchdelikte","Oktober 2014",66,30,18.18,8.5324708,52.0302285
"Bielefeld","Wohnungseinbruchdiebstahl","Oktober 2019",19,8,63.16,8.5324708,52.0302285
"Bielefeld","Wohnungseinbruchdiebstahl","September 2019",25,15,12,8.5324708,52.0302285
"Bielefeld","Wohnungseinbruchdiebstahl","August 2019",27,13,125.93,8.5324708,52.0302285
"Bielefeld","Wohnungseinbruchdiebstahl","Juli 2019",22,15,4.55,8.5324708,52.0302285
"Bielefeld","Wohnungseinbruchdiebstahl","Juni 2019",13,6,0,8.5324708,52.0302285
"Bielefeld","Wohnungseinbruchdiebstahl","Mai 2019",52,28,38.46,8.5324708,52.0302285
"Bielefeld","Wohnungseinbruchdiebstahl","April 2019",54,28,27.78,8.5324708,52.0302285
"Bielefeld","Wohnungseinbruchdiebstahl","März 2019",29,14,27.59,8.5324708,52.0302285
"Bielefeld","Wohnungseinbruchdiebstahl","Februar 2019",103,54,3.88,8.5324708,52.0302285
"Bielefeld","Wohnungseinbruchdiebstahl","Januar 2019",67,35,1.49,8.5324708,52.0302285
"Bielefeld","Wohnungseinbruchdiebstahl","Dezember 2018",25,14,4,8.5324708,52.0302285
"Bielefeld","Wohnungseinbruchdiebstahl","November 2018",30,18,40,8.5324708,52.0302285
"Bielefeld","Wohnungseinbruchdiebstahl","Oktober 2018",19,9,36.84,8.5324708,52.0302285
"Bielefeld","Wohnungseinbruchdiebstahl","Oktober 2014",30,14,16.67,8.5324708,52.0302285
"Bielefeld","Tageswohnungs-einbruchdiebstahl","Oktober 2019",9,1,100,8.5324708,52.0302285
"Bielefeld","Tageswohnungs-einbruchdiebstahl","September 2019",7,5,0,8.5324708,52.0302285
"Bielefeld","Tageswohnungs-einbruchdiebstahl","August 2019",12,6,133.33,8.5324708,52.0302285
"Bielefeld","Tageswohnungs-einbruchdiebstahl","Juli 2019",5,2,0,8.5324708,52.0302285
"Bielefeld","Tageswohnungs-einbruchdiebstahl","Juni 2019",4,1,0,8.5324708,52.0302285
"Bielefeld","Tageswohnungs-einbruchdiebstahl","Mai 2019",16,7,68.75,8.5324708,52.0302285
"Bielefeld","Tageswohnungs-einbruchdiebstahl","April 2019",26,13,34.62,8.5324708,52.0302285
"Bielefeld","Tageswohnungs-einbruchdiebstahl","März 2019",14,6,28.57,8.5324708,52.0302285
"Bielefeld","Tageswohnungs-einbruchdiebstahl","Februar 2019",41,21,4.88,8.5324708,52.0302285
"Bielefeld","Tageswohnungs-einbruchdiebstahl","Januar 2019",30,12,3.33,8.5324708,52.0302285
"Bielefeld","Tageswohnungs-einbruchdiebstahl","Dezember 2018",13,7,0,8.5324708,52.0302285
"Bielefeld","Tageswohnungs-einbruchdiebstahl","November 2018",13,6,7.69,8.5324708,52.0302285
"Bielefeld","Tageswohnungs-einbruchdiebstahl","Oktober 2018",8,3,37.5,8.5324708,52.0302285
"Bielefeld","Tageswohnungs-einbruchdiebstahl","Oktober 2014",10,3,20,8.5324708,52.0302285
"Bielefeld","Delikte der Straßenkriminalität","Oktober 2019",301,19,19.6,8.5324708,52.0302285
"Bielefeld","Delikte der Straßenkriminalität","September 2019",392,21,10.71,8.5324708,52.0302285
"Bielefeld","Delikte der Straßenkriminalität","August 2019",373,15,21.98,8.5324708,52.0302285
"Bielefeld","Delikte der Straßenkriminalität","Juli 2019",572,15,13.81,8.5324708,52.0302285
"Bielefeld","Delikte der Straßenkriminalität","Juni 2019",278,5,22.66,8.5324708,52.0302285
"Bielefeld","Delikte der Straßenkriminalität","Mai 2019",437,18,26.54,8.5324708,52.0302285
"Bielefeld","Delikte der Straßenkriminalität","April 2019",309,28,17.48,8.5324708,52.0302285
"Bielefeld","Delikte der Straßenkriminalität","März 2019",314,12,22.61,8.5324708,52.0302285
"Bielefeld","Delikte der Straßenkriminalität","Februar 2019",391,13,17.9,8.5324708,52.0302285
"Bielefeld","Delikte der Straßenkriminalität","Januar 2019",450,17,10.89,8.5324708,52.0302285
"Bielefeld","Delikte der Straßenkriminalität","Dezember 2018",323,13,19.81,8.5324708,52.0302285
"Bielefeld","Delikte der Straßenkriminalität","November 2018",442,18,17.42,8.5324708,52.0302285
"Bielefeld","Delikte der Straßenkriminalität","Oktober 2018",540,12,14.81,8.5324708,52.0302285
"Bielefeld","Delikte der Straßenkriminalität","Oktober 2014",583,28,12.86,8.5324708,52.0302285
"Bielefeld","Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge)","Oktober 2019",3,NA,66.67,8.5324708,52.0302285
"Bielefeld","Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge)","September 2019",1,NA,0,8.5324708,52.0302285
"Bielefeld","Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge)","August 2019",5,1,80,8.5324708,52.0302285
"Bielefeld","Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge)","Juli 2019",3,NA,100,8.5324708,52.0302285
"Bielefeld","Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge)","Juni 2019",1,NA,100,8.5324708,52.0302285
"Bielefeld","Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge)","Mai 2019",3,NA,100,8.5324708,52.0302285
"Bielefeld","Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge)","April 2019",2,NA,100,8.5324708,52.0302285
"Bielefeld","Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge)","März 2019",5,NA,100,8.5324708,52.0302285
"Bielefeld","Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge)","Februar 2019",6,NA,100,8.5324708,52.0302285
"Bielefeld","Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge)","Januar 2019",1,NA,100,8.5324708,52.0302285
"Bielefeld","Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge)","Dezember 2018",10,NA,90,8.5324708,52.0302285
"Bielefeld","Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge)","November 2018",3,1,100,8.5324708,52.0302285
"Bielefeld","Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge)","Oktober 2018",5,1,100,8.5324708,52.0302285
"Bielefeld","Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge)","Oktober 2014",4,1,75,8.5324708,52.0302285
"Bielefeld","Raubüberfälle auf Straßen, Wegen oder Plätzen","Oktober 2019",5,2,20,8.5324708,52.0302285
"Bielefeld","Raubüberfälle auf Straßen, Wegen oder Plätzen","September 2019",7,2,57.14,8.5324708,52.0302285
"Bielefeld","Raubüberfälle auf Straßen, Wegen oder Plätzen","August 2019",2,NA,50,8.5324708,52.0302285
"Bielefeld","Raubüberfälle auf Straßen, Wegen oder Plätzen","Juli 2019",5,1,20,8.5324708,52.0302285
"Bielefeld","Raubüberfälle auf Straßen, Wegen oder Plätzen","Juni 2019",1,NA,0,8.5324708,52.0302285
"Bielefeld","Raubüberfälle auf Straßen, Wegen oder Plätzen","Mai 2019",5,1,40,8.5324708,52.0302285
"Bielefeld","Raubüberfälle auf Straßen, Wegen oder Plätzen","April 2019",7,2,57.14,8.5324708,52.0302285
"Bielefeld","Raubüberfälle auf Straßen, Wegen oder Plätzen","März 2019",9,2,77.78,8.5324708,52.0302285
"Bielefeld","Raubüberfälle auf Straßen, Wegen oder Plätzen","Februar 2019",11,1,72.73,8.5324708,52.0302285
"Bielefeld","Raubüberfälle auf Straßen, Wegen oder Plätzen","Januar 2019",6,NA,83.33,8.5324708,52.0302285
"Bielefeld","Raubüberfälle auf Straßen, Wegen oder Plätzen","Dezember 2018",10,2,80,8.5324708,52.0302285
"Bielefeld","Raubüberfälle auf Straßen, Wegen oder Plätzen","November 2018",7,1,42.86,8.5324708,52.0302285
"Bielefeld","Raubüberfälle auf Straßen, Wegen oder Plätzen","Oktober 2018",7,1,57.14,8.5324708,52.0302285
"Bielefeld","Raubüberfälle auf Straßen, Wegen oder Plätzen","Oktober 2014",5,NA,0,8.5324708,52.0302285
"Bielefeld","Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen","Oktober 2019",11,NA,63.64,8.5324708,52.0302285
"Bielefeld","Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen","September 2019",8,NA,75,8.5324708,52.0302285
"Bielefeld","Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen","August 2019",14,1,85.71,8.5324708,52.0302285
"Bielefeld","Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen","Juli 2019",26,1,65.38,8.5324708,52.0302285
"Bielefeld","Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen","Juni 2019",15,2,86.67,8.5324708,52.0302285
"Bielefeld","Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen","Mai 2019",19,2,57.89,8.5324708,52.0302285
"Bielefeld","Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen","April 2019",26,17,38.46,8.5324708,52.0302285
"Bielefeld","Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen","März 2019",21,3,76.19,8.5324708,52.0302285
"Bielefeld","Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen","Februar 2019",24,3,75,8.5324708,52.0302285
"Bielefeld","Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen","Januar 2019",16,3,75,8.5324708,52.0302285
"Bielefeld","Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen","Dezember 2018",13,3,61.54,8.5324708,52.0302285
"Bielefeld","Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen","November 2018",27,4,81.48,8.5324708,52.0302285
"Bielefeld","Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen","Oktober 2018",18,1,83.33,8.5324708,52.0302285
"Bielefeld","Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen","Oktober 2014",14,2,71.43,8.5324708,52.0302285
"Bielefeld","Taschendiebstahl","Oktober 2019",24,NA,4.17,8.5324708,52.0302285
"Bielefeld","Taschendiebstahl","September 2019",23,NA,0,8.5324708,52.0302285
"Bielefeld","Taschendiebstahl","August 2019",16,NA,6.25,8.5324708,52.0302285
"Bielefeld","Taschendiebstahl","Juli 2019",22,1,9.09,8.5324708,52.0302285
"Bielefeld","Taschendiebstahl","Juni 2019",23,NA,8.7,8.5324708,52.0302285
"Bielefeld","Taschendiebstahl","Mai 2019",26,1,0,8.5324708,52.0302285
"Bielefeld","Taschendiebstahl","April 2019",35,NA,5.71,8.5324708,52.0302285
"Bielefeld","Taschendiebstahl","März 2019",31,NA,0,8.5324708,52.0302285
"Bielefeld","Taschendiebstahl","Februar 2019",29,NA,0,8.5324708,52.0302285
"Bielefeld","Taschendiebstahl","Januar 2019",58,2,1.72,8.5324708,52.0302285
"Bielefeld","Taschendiebstahl","Dezember 2018",39,NA,0,8.5324708,52.0302285
"Bielefeld","Taschendiebstahl","November 2018",36,NA,5.56,8.5324708,52.0302285
"Bielefeld","Taschendiebstahl","Oktober 2018",40,NA,7.5,8.5324708,52.0302285
"Bielefeld","Taschendiebstahl","Oktober 2014",73,NA,4.11,8.5324708,52.0302285
"Bielefeld","Diebstahl von Fahrrädern","Oktober 2019",88,2,10.23,8.5324708,52.0302285
"Bielefeld","Diebstahl von Fahrrädern","September 2019",140,3,4.29,8.5324708,52.0302285
"Bielefeld","Diebstahl von Fahrrädern","August 2019",94,2,5.32,8.5324708,52.0302285
"Bielefeld","Diebstahl von Fahrrädern","Juli 2019",182,3,1.1,8.5324708,52.0302285
"Bielefeld","Diebstahl von Fahrrädern","Juni 2019",76,2,1.32,8.5324708,52.0302285
